Gender,Customer Type,Age,Type of Travel,Class,Arrival Service,Booking Services,Immediate Transfer,Lounge Service,Check-in Service,Boarding Service,Layover Service,Onboard Services,Baggage Service,Immigration Security,Call Center Service,Departure Delay,Arrival Delay,Total Delay,Satisfaction
Female,Loyal Customer,59,Business travel,Business,4,2,2,1,4,2,5,2,5,5,3,0,0,0,Satisfied
Female,Loyal Customer,46,Business travel,Business,5,1,3,3,3,1,3,3,5,4,1,23,3,26,Satisfied
Male,Loyal Customer,45,Business travel,Eco,3,1,1,4,4,3,3,3,5,2,5,0,0,0,Satisfied
Female,Loyal Customer,40,Business travel,Business,5,1,2,5,1,4,2,2,4,5,5,0,0,0,Satisfied
Male,Loyal Customer,54,Business travel,Business,5,3,1,5,2,4,5,1,2,5,2,0,0,0,Satisfied
Female,Loyal Customer,25,Business travel,Business,2,5,1,5,3,3,4,4,5,4,4,0,0,0,Satisfied
Female,Loyal Customer,44,Business travel,Eco,3,5,3,3,1,1,5,3,5,4,1,23,13,36,Satisfied
Female,Loyal Customer,30,Business travel,Business,3,4,1,3,2,4,1,5,5,5,3,0,0,0,Satisfied
Female,Loyal Customer,23,Personal Travel,Eco,3,1,5,2,4,2,5,4,1,2,4,0,0,0,DisSatisfied
Male,Loyal Customer,28,Business travel,Business,5,3,2,2,1,3,2,5,3,3,5,0,0,0,Satisfied
Female,Loyal Customer,40,Business travel,Business,4,2,1,5,5,4,5,3,3,1,5,0,8,8,Satisfied
Female,Loyal Customer,45,Business travel,Business,3,2,1,1,2,4,1,1,3,1,1,0,0,0,Satisfied
Female,Loyal Customer,55,Personal Travel,Eco,5,4,4,4,2,5,4,3,5,5,1,42,61,103,DisSatisfied
Female,Loyal Customer,30,Business travel,Business,2,4,4,2,4,1,3,3,1,3,3,0,0,0,DisSatisfied
Male,Loyal Customer,57,Business travel,Business,4,1,5,4,5,3,1,5,2,4,2,8,0,8,Satisfied
Male,Loyal Customer,32,Business travel,Business,2,1,4,1,3,4,1,1,2,1,3,0,0,0,Satisfied
Male,Loyal Customer,62,Personal Travel,Eco,4,2,1,5,1,3,3,2,3,5,5,2,5,7,DisSatisfied
Female,Loyal Customer,11,Personal Travel,Leisure,5,2,1,4,4,2,5,1,5,2,5,47,24,71,DisSatisfied
Female,Loyal Customer,34,Business travel,Business,1,2,2,5,5,5,2,5,2,3,3,0,17,17,Satisfied
Male,Loyal Customer,48,Business travel,Business,4,2,4,4,2,1,4,3,4,4,4,19,12,31,Satisfied
Female,Loyal Customer,52,Business travel,Business,2,5,3,1,2,1,5,2,2,1,2,15,93,108,Satisfied
Female,Loyal Customer,58,Business travel,Business,5,1,4,2,2,2,3,4,5,3,2,0,0,0,Satisfied
Female,disloyal Customer,40,Business travel,Business,4,1,1,3,5,4,2,1,2,3,1,0,0,0,DisSatisfied
Male,disloyal Customer,33,Business travel,Eco,1,2,2,5,5,5,4,5,5,2,2,0,0,0,DisSatisfied
Male,Loyal Customer,60,Business travel,Eco,1,3,4,2,3,1,2,4,1,3,1,0,0,0,Satisfied
Male,disloyal Customer,35,Business travel,Eco,3,2,2,4,1,3,3,5,2,2,2,1,0,1,DisSatisfied
Female,Loyal Customer,68,Personal Travel,Eco,3,4,4,2,2,2,2,1,2,1,2,2,7,9,DisSatisfied
Male,Loyal Customer,47,Business travel,Business,2,3,5,3,3,1,4,3,3,5,5,0,0,0,Satisfied
Female,Loyal Customer,50,Personal Travel,Eco,4,4,1,5,5,4,5,3,5,2,2,0,0,0,DisSatisfied
Female,Loyal Customer,40,Business travel,Business,4,3,1,5,3,5,3,5,1,5,5,0,0,0,Satisfied
Female,Loyal Customer,54,Business travel,Business,3,4,3,2,2,1,2,4,1,5,1,6,9,15,Satisfied
Female,Loyal Customer,60,Personal Travel,Eco,4,2,1,1,1,4,3,3,3,3,3,19,27,46,DisSatisfied
Female,Loyal Customer,38,Personal Travel,Eco,4,2,3,4,3,4,4,1,5,4,4,43,36,79,DisSatisfied
Female,Loyal Customer,41,Business travel,Business,1,3,1,2,5,2,4,5,3,2,3,0,0,0,Satisfied
Male,Loyal Customer,36,Business travel,Business,3,4,4,1,4,4,5,4,3,2,5,16,31,47,Satisfied
Female,Loyal Customer,54,Business travel,Business,5,5,4,5,4,2,4,4,5,4,5,5,0,5,Satisfied
Male,Loyal Customer,55,Business travel,Business,3,3,5,4,3,3,5,2,3,2,2,0,0,0,Satisfied
Male,Loyal Customer,59,Business travel,Business,5,3,4,5,5,2,1,3,2,5,5,0,0,0,Satisfied
Male,disloyal Customer,26,Business travel,Eco,1,1,2,3,3,1,5,2,5,4,1,67,13.91689653,80.91689653,DisSatisfied
Male,Loyal Customer,67,Personal Travel,Eco,2,3,4,1,3,2,2,4,4,1,5,15,2,17,DisSatisfied
Male,Loyal Customer,7,Personal Travel,Business,4,5,3,3,4,5,1,2,5,4,3,0,0,0,DisSatisfied
Female,Loyal Customer,47,Business travel,Business,1,2,5,3,3,3,4,3,1,1,2,20,9,29,Satisfied
Female,Loyal Customer,41,Business travel,Eco,4,4,2,3,4,2,2,3,2,5,1,0,0,0,Satisfied
Male,Loyal Customer,32,Business travel,Business,2,1,2,1,5,3,2,2,2,3,1,53,91,144,Satisfied
Female,Loyal Customer,37,Business travel,Eco,2,4,1,4,5,2,2,3,4,5,4,4,0,4,DisSatisfied
Female,Loyal Customer,15,Personal Travel,Business,1,2,3,5,5,4,4,4,2,4,1,30,33,63,DisSatisfied
Female,Loyal Customer,36,Business travel,Eco,2,3,4,4,4,4,4,5,2,4,2,0,11,11,Satisfied
Female,Loyal Customer,52,Business travel,Business,5,5,4,4,2,1,2,2,2,3,4,0,0,0,Satisfied
